Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 45, TIDL_PoolingLayer, 128, 13, 13, 128, 13, 13, 128,  COL, 0, 0, 169, 169, 1, 0, 1,,,,,,,,, L2, DMA, 195, 195, 128, 25216, 0, 80, ,,,,,,,, MSMC, CPU, 192, 169, 128, 24576, 0, 6000, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 48, TIDL_PoolingLayer, 128, 13, 13, 128, 13, 13, 128,  COL, 0, 0, 169, 169, 1, 0, 1,,,,,,,,, L2, DMA, 195, 195, 128, 25216, 0, 80, ,,,,,,,, MSMC, CPU, 192, 169, 128, 24576, 0, 6000, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 50, TIDL_PoolingLayer, 128, 13, 13, 128, 13, 13, 128,  COL, 0, 0, 169, 169, 1, 0, 1,,,,,,,,, L2, DMA, 195, 195, 128, 25216, 0, 80, ,,,,,,,, MSMC, CPU, 192, 169, 128, 24576, 0, 6000, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 43, TIDL_PoolingLayer, 128, 13, 13, 128, 13, 13, 128,  COL, 0, 0, 169, 169, 1, 0, 1,,,,,,,,, L2, DMA, 195, 195, 128, 25216, 0, 80, ,,,,,,,, MSMC, CPU, 192, 169, 128, 24576, 0, c000, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 46, TIDL_PoolingLayer, 128, 13, 13, 128, 13, 13, 128,  COL, 0, 0, 169, 169, 1, 0, 1,,,,,,,,, L2, DMA, 195, 195, 128, 25216, 0, 80, ,,,,,,,, MSMC, CPU, 192, 169, 128, 24576, 0, c000, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 53, TIDL_ConcatLayer, 512, 13, 13, 512, 13, 13, 512,  COL, 0, 0, 169, 169, 4, 0, 4,,,,,,,,, L2, DMA, 195, 195, 256, 49920, 0, 0, ,,,,,,,, MSMC, CPU, 192, 169, 512, 98304, 0, 58100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 54, TIDL_ConvolutionLayer, 512, 13, 13, 256, 13, 13, 512, ROW_L, 0, 0, 169, 169, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 512, 98432, 0, 0, ,,,,,,,, MSMC, CPU, 192, 169, 256, 49152, 0, 0, ,,,,,,,, MSMC, DMA, 576, 512, 256, 148992, 0, 70100, ,,,,,,,, 
 55, TIDL_ConvolutionLayer, 256, 13, 13, 128, 13, 13, 256, ROW_L, 0, 0, 169, 169, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 256, 49280, 0, 0, ,,,,,,,, MSMC, CPU, 192, 169, 128, 24576, 0, 58100, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41728, 0, c000, ,,,,,,,, 
 57, TIDL_ConvolutionLayer, 128, 13, 13, 128, 13, 13, 128, ROW_L, 0, 0, 169, 169, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24704, 0, 0, ,,,,,,,, MSMC, CPU, 192, 169, 128, 24576, 0, c000, ,,,,,,,, MSMC, DMA, 192, 128, 128, 25344, 0, 5e100, ,,,,,,,, 
 58, TIDL_ConvolutionLayer, 128, 13, 13, 128, 13, 13, 128, ROW_L, 28, 32, 137, 169, 1, 1, 1,,,,,,,,, L2, DMA, 192, 192, 128, 24832, 0, 0, ,,,,,,,, MSMC, CPU, 192, 169, 128, 24576, 0, c000, ,,,,,,,, MSMC, DMA_ONCE, 1216, 1152, 128, 156416, 0, c1d00, ,,,,,,,, 
