 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,utilization,
      79,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,      64,      64,      52,      52,      26,      26,  206.03,206027.05,186962.61,187012.61, 7100.00,11914.44, 2909.56,169.00, 42.25, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.18,    0.10,    0.00,    0.00,       1,   65.87,
      81,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     128,     128,      26,      26,      26,      26,   16.47,16468.84, 3604.40, 3654.40,11000.00, 1814.44, 1970.89, 91.00, 84.50,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.09,    0.09,    0.00,    0.00,       2,    0.34,
      84,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,      64,      26,      26,      26,      26,   35.94,35943.82,21181.60,21231.60, 7100.00, 7612.22,    0.00, 84.50, 42.25,  8.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.09,    0.07,    0.00,    0.00,       1,   40.10,
      88,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      26,      26,      26,      26,   23.52,23520.34,10855.90,10905.90, 7100.00, 5514.44,    0.00, 42.25, 42.25,  4.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.07,    0.00,    0.00,       1,   27.79,
      92,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      26,      26,      26,      26,  110.39,110390.42,93459.30,93509.30, 7100.00, 9781.11,    0.00, 42.25, 42.25, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.10,    0.00,    0.00,       1,   64.71,
      85,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,      64,      26,      26,      26,      26,   35.94,35943.82,21181.60,21231.60, 7100.00, 7612.22,    0.00, 84.50, 42.25,  8.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.09,    0.07,    0.00,    0.00,       1,   40.10,
      94,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     128,     128,      26,      26,      26,      26,   16.47,16468.84, 3604.40, 3654.40,11000.00, 1814.44, 1970.89, 84.50, 84.50,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.09,    0.09,    0.00,    0.00,       2,    0.36,
      95,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      26,      26,      26,      26,   60.41,60406.66,41911.10,41961.10, 7100.00,11345.56,    0.00, 84.50, 84.50, 16.75,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.09,    0.14,    0.00,    0.00,       1,   53.43,
      97,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,      64,      26,      26,      26,      26,   35.94,35943.82,21181.60,21231.60, 7100.00, 7612.22,    0.00, 84.50, 42.25,  8.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.09,    0.07,    0.00,    0.00,       1,   40.10,
     100,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,      64,      64,      26,      26,      26,      26,  110.39,110390.42,93459.30,93509.30, 7100.00, 9781.11,    0.00, 42.25, 42.25, 36.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.05,    0.10,    0.00,    0.00,       1,   64.71,
